indicator,value,unit,source
Workers exposed to excessive heat,2.41,billion workers,ILO 2024 — Ensuring Safety and Health at Work in a Changing Climate
Share of global workforce exposed,70,%,ILO 2024
Occupational heat-related deaths annually,18960,deaths,ILO 2024
Heat-related occupational injuries annually,22.85,million injuries,ILO 2024
Agriculture workers exposed,1.41,billion workers,ILO 2024 — 58.4% of exposed workers
Construction workers exposed,0.36,billion workers,ILO 2024 — 14.9% of exposed workers
Workers with no legal heat protection,67,%,"ILO 2024 — no enforceable max temperature laws"
Countries with outdoor work heat standards,23,%,ILO 2024 — only 23% of countries have specific regulations
Increase in worker exposure since 2000,35,%,Lancet Countdown 2025
Heat stroke fatality rate (untreated),50,%,WHO Occupational Health Guidelines
Productivity decline above 33°C WBGT,25,%,Kjellstrom et al. 2018 / Nature Climate Change
Labour capacity loss by 2030 (hours),80,million full-time job equivalents,ILO Working on a Warmer Planet 2019
Informal workers unprotected,1.6,billion workers,ILO 2024 — no access to formal safety nets
